x,y,sf,cf,rx
109.197,91.7032,7,1,-91.47249642740091
-6.6928,-190.978,7,2,-96.47121924796724
-244.749,105.671,7,3,-102.1590634492754
293.127,-159.446,7,4,-105.995642818634
52.6851,351.468,7,5,-107.0728598116695
412.349,-172.961,7,6,-110.9985071957334
-189.261,-459.645,7,7,-112.8079326451951
-289.537,417.279,7,8,-113.1755567243364
-445.204,-309.766,7,1,-114.2981907055844
411.057,451.96,7,2,-116.3330791860331
507.959,371.794,7,3,-116.8445683533404
622.5,168.959,7,4,-117.2613326896273
499.447,-422.791,7,5,-117.5072855766954
-779.3440000000001,83.8429,7,6,-120.5934595266432
-758.939,-245.689,7,7,-120.8934227181355
-493.621,630.362,7,8,-120.9558744529351
-747.228,-348.882,7,1,-121.461336694639
702.853,434.073,7,2,-121.4908646298288
-833.338,-90.7206,7,3,-121.7409408922748
495.694,-686.034,7,4,-121.9056606121207
-720.725,444.908,7,5,-121.9179710283591
-332.44,-826.236,7,6,-122.7764573941581
588.191,-680.087,7,7,-122.9398133375393
742.862,-559.855,7,8,-123.5201120938809
659.043,-671.066,7,1,-123.709496895063
596.839,-778.26,7,2,-124.4249701435461
-302.637,-946.6660000000001,7,3,-124.6517334631111
-817.977,594.139,7,4,-124.9436934745298
-516.403,-888.456,8,1,-125.2229104657959
527.735,-916.245,8,2,-125.7104390163379
642.937,882.723,8,3,-126.262270127815
-628.64,907.208,8,4,-126.4441434820534
-1025.93,448.74,8,5,-126.6909345191943
827.707,755.364,8,6,-126.7030166375349
-135.248,1114.37,8,7,-126.7331800902517
-334.744,1079.26,8,8,-126.8460053681037
-1123.13,-156.124,8,1,-126.9056450035213
-1149.14,-91.8532,8,2,-127.1878791207361
-1084.62,-443.429,8,3,-127.4667347458179
-144.578,-1183.25,8,4,-127.7601706043472
882.889,-881.665,9,1,-128.5405794351113
-1231.23,-215.355,9,2,-128.5706080652527
-936.612,-839.614,9,3,-128.6787356591921
909.799,-883.804,9,4,-128.8215132471902
653.995,1138.82,9,5,-129.415506894612
-693.179,1123.54,9,6,-129.5053304848124
-429.297,-1284.18,9,7,-129.9383978239994
-1357.37,308.267,9,8,-130.4103126930484
1430.47,82.828,9,1,-130.9057758870993
1211.66,800.508,10,1,-131.1351042829473
1463.87,-52.0467,10,2,-131.2825396008505
-1470.86,-9.125249999999999,10,3,-131.353506895087
564.782,-1368.93,10,4,-131.4690198666534
-745.65,-1290.29,10,5,-131.5770620729344
-753.42,-1311.39,10,6,-131.8294176734633
-177.107,-1524.8,10,7,-132.0834401889146
1124.51,-1047.63,10,8,-132.1039807584456
1497.81,361.838,10,1,-132.1484138475306
944.742,-1222.39,10,2,-132.1929850288236
1576.24,30.6834,10,3,-132.5393457882628
916.374,-1288.78,10,4,-132.5915331943768
-1574.62,205.95,10,5,-132.6635176517349
44.3461,1611.42,10,6,-132.919938568791
1.20087,-1617.44,10,7,-132.9772193531108
-1615.89,132.716,10,8,-133.0182912146382
-1223.79,1074.92,10,1,-133.0972701342738
1425.27,-791.528,10,2,-133.1127077189354
1456.64,-735.528,10,3,-133.1284211235976
-1433.28,-821.817,10,4,-133.3404383432642
995.907,1324.62,10,5,-133.3928043822093
-268.343,-1639.52,10,6,-133.434981449926
-1229.66,1132.69,10,7,-133.5427445579137
885.509,-1434.33,10,8,-133.6834155878745
-668.313,-1552.9,10,1,-133.7335424804998
-36.9986,1690.76,10,2,-133.7392156807264
-1621.01,634.834,11,1,-134.2346002903289
1280.94,-1181.44,11,2,-134.2512809466098
-1290.31,-1179.4,11,3,-134.3053716233374
1214.91,1291.19,11,4,-134.5461240683986
932.487,1524.44,11,5,-134.6817546765639
439.388,-1734.37,11,6,-134.7022119818211
977.216,-1521.31,11,7,-134.8825002560098
-926.289,1557.79,11,8,-134.9226336490833
170.839,-1807.35,11,1,-134.9511557036577
-194.289,-1817.7,11,2,-135.0698470191467
871.556,1620.56,11,3,-135.1817667861062
1838.66,-83.1332,11,4,-135.1862019752917
1740.92,620.325,11,5,-135.2566230154643
-1354.39,1306.4,11,6,-135.5649380265392
-1690.56,842.075,11,7,-135.6275435545093
-1872.86,-266.282,11,8,-135.6548831588243
1900.01,69.9914,11,1,-135.7414529845248
1679.45,-892.431,11,2,-135.7462950725696
1416.3,-1306.66,11,3,-135.9708551666057
-193.55,-1939.51,12,1,-136.1663301205371
1020.65,1667.42,12,2,-136.21759815022
1089.1,1643.54,12,3,-136.3625093339932
1353.06,-1464.11,12,4,-136.5517600628289
1574.37,1227.03,12,5,-136.5729272525178
1997.41,-33.0224,12,6,-136.5868480180412
